RK	PLAYER NAME	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
197 Joshua Kelley(LAC)	RB61	5	
198 Tyjae Spears(TEN)	RB62	7	
199 Denver Broncos(DEN)	DST8	9	
200 Dawson Knox(BUF)	TE21	13	
201 Irv Smith Jr.(CIN)	TE22	7	
202 Parris Campbell(NYG)	WR9	13	
203 Kansas City Chiefs(KC)	DST9	10	
204 Jayden Reed(GB)	WR0	6	
205 Hunter Henry(NE)	TE23	11	
206 Sam Howell(WAS)	QB27	14	
207 Marvin Mims Jr.(DEN)	WR1	9	
208 New Orleans Saints(NO)	DST10	11	
209 Mecole Hardman Jr.(NYJ)	WR2	7	
210 Pittsburgh Steelers(PIT)	DST11	6	
211 Mike Gesicki(NE)	TE24	11	
212 Jalin Hyatt(NYG)	WR3	13	
213 Younghoe Koo(ATL)	K6	11	
214 Wan'Dale Robinson(NYG)	WR4	13	
215 Robert Woods(HOU)	WR5	7	
216 Miami Dolphins(MIA)	DST12	10	
217 Joshua Palmer(LAC)	WR6	5	
218 Jason Sanders(MIA)	K7	10	
219 Cincinnati Bengals(CIN)	DST13	7	
220 Allen Robinson II(PIT)	WR7	6	
221 Jimmy Garoppolo(LV)	QB28	13	
222 C.J. Stroud(HOU)	QB29	7	
223 Hayden Hurst(CAR)	TE25	7	
224 225 Brandon McManus(JAC)	K8	9	
226 Corey Davis(NYJ)	WR8	7	
227 Chase Edmonds(TB)	RB64	5	
228 229 Michael Carter(NYJ)	RB66	7	
230 Jake Elliott(PHI)	K9	10	
231 Mac Jones(NE)	QB30	11	
232 Josh Downs(IND)	WR9	11	
233 Jason Myers(SEA)	K10	5	
234 Tyquan Thornton(NE)	WR0	11	
235 Washington Commanders(WAS)	DST14	14	
236 Cleveland Browns(CLE)	DST15	5	
237 Tampa Bay Buccaneers(TB)	DST16	5	
238 Trey McBride(ARI)	TE26	14	
239 Terrace Marshall Jr.(CAR)	WR1	7	
240 Green Bay Packers(GB)	DST17	6	
241 Los Angeles Chargers(LAC)	DST18	5	
242 Chase Brown(CIN)	RB67	7	
243 Noah Fant(SEA)	TE27	5	
244 Matt Gay(IND)	K11	11	
245 Graham Gano(NYG)	K12	13	
246 Pierre Strong Jr.(NE)	RB68	11	
247 Zach Evans(LAR)	RB69	10	
248 Greg Joseph(MIN)	K13	13	
249 Desmond Ridder(ATL)	QB31	11	
250 Greg Zuerlein(NYJ)	K14	7	
251 Kyren Williams(LAR)	RB70	10	
252 Jelani Woods(IND)	TE28	11	
253 Ty Chandler(MIN)	RB71	13	
254 Tank Dell(HOU)	WR2	7	
255 Indianapolis Colts(IND)	DST19	11	
256 Marvin Jones Jr.(DET)	WR3	9	
257 Nick Folk(NE)	K15	11	
258 Jacksonville Jaguars(JAC)	DST20	9	
259 Michael Mayer(LV)	TE29	13	
260 Khalil Shakir(BUF)	WR4	13	
261 Zach Ertz(ARI)	TE30	14	
262 Wil Lutz(NO)	K16	11	
263 Isaiah Spiller(LAC)	RB72	5	
264 Richie James Jr.(KC)	WR5	10	
265 Mack Hollins(ATL)	WR6	11	
266 Jake Ferguson(DAL)	TE31	7	
267 Israel Abanikanda(NYJ)	RB73	7	
268 Josh Reynolds(DET)	WR7	9	
269 Isaiah Likely(BAL)	TE32	13	
270 Sterling Shepard(NYG)	WR8	13	
271 Kendrick Bourne(NE)	WR9	11	
272 Matt Prater(ARI)	K17	14	
273 Luke Musgrave(GB)	TE33	6	
274 Latavius Murray(BUF)	RB74	13	
275 Zack Moss(IND)	RB75	11	
276 Cade Otton(TB)	TE34	5	
277 Carolina Panthers(CAR)	DST21	7	
278 Chris Boswell(PIT)	K18	6	
279 Deuce Vaughn(DAL)	RB76	7	
280 Los Angeles Rams(LAR)	DST22	10	
281 Seattle Seahawks(SEA)	DST23	5	
282 Baker Mayfield(TB)	QB32	5	
283 Boston Scott(PHI)	RB77	10	
284 Malik Davis(DAL)	RB78	7	
285 Riley Patterson(DET)	K19	9	
286 Matt Breida(NYG)	RB79	13	
287 Isaiah McKenzie(IND)	WR00	11	
288 Logan Thomas(WAS)	TE35	14	
289 Jake Moody(SF)	K20	9	
290 DeWayne McBride(MIN)	RB80	13	
291 D'Ernest Johnson(JAC)	RB81	9	
292 Russell Gage(TB)	WR01	5	
293 Evan Hull(IND)	RB82	11	
294 Tyler Conklin(NYJ)	TE36	7	
295 New York Giants(NYG)	DST24	13	
296 Keaontay Ingram(ARI)	RB83	14	
297 Puka Nacua(LAR)	WR02	10	
298 Laviska Shenault Jr.(CAR)	WR03	7	
299 Quez Watkins(PHI)	WR04	10	
300 Dustin Hopkins(LAC)	K21	5	
301 Justyn Ross(KC)	WR05	10	
